1.5.1;13.1.1;
1.10.1;13.1.5;
1.11.10;13.1.24;
1.25.1;13.1.32;
1.25.12;13.1.28;
1.35.22;13.2.1;
1.36.1;13.1.34;
1.36.20;13.1.38;
1.36.31;13.1.43;
2.17.1;4.20.1;
2.18.13;5.1.9;
2.20.1;5.5.1;
2.20.18;5.5.22;
2.21.1;5.15.12;
2.23.14;2.34.18;5.16.1;
2.25.1;2.35.4;
2.25.10;2.37.1;
2.25.23;2.37.10;
2.25.31;2.37.17;
2.26.1;2.36.8;
2.27.1;2.38.1;
2.27.9;2.38.9;
2.27.20;3.24.1;
2.28.1;2.39.1;
2.28.15;2.39.8;
2.28.31;2.39.22;
2.29.1;3.8.1;
2.29.38;4.28.1;
2.30.1;2.37.25;
2.31.1;2.35.30;
2.32.1;5.9.6;
2.34.1;5.10.1;
2.34.10;2.23.14;5.7.1;16.1;
2.35.4;2.25.1;
2.35.10;2.39.32;
2.35.30;2.31.1;
2.36.8;2.26.1;
2.37.1;2.25.10;
2.37.10;2.25.23;
2.37.17;2.25.31;
2.37.25;2.30.1;
2.37.29;2.30.22;
2.38.1;2.27.1;
2.38.8;2.30.18;
2.38.9;2.27.9;
2.39.1;2.28.1;
2.39.8;2.28.15;
2.39.22;2.28.31;
2.39.32;2.35.10;
2.40.34;4.9.15;
3.8.1;2.29.1;
3.11.1;5.14.3;
3.23.5;4.28.16;
3.23.15;4.28.26;
3.23.23;4.29.1;
3.23.26;4.29.7;
3.23.33;4.29.12;
3.24.1;2.27.20;
3.25.1;5.15.1;
3.26.1;5.7.12;28.1;
3.26.14;5.28.15;
4.9.15;2.40.34;
4.13.1;5.1.19;
4.14.39;5.1.41;
4.20.1;2.17.1;
4.21.21;5.2.26;
4.27.12;5.31.1;
4.28.1;2.29.38;
4.28.16;3.23.5;
4.28.26;3.23.15;
4.29.1;3.23.23;
4.29.7;3.23.26;
4.29.12;3.23.33;
4.32.1;5.3.12;
4.35.9;5.19.1;6.20.1;
5.1.9;2.18.13;
5.1.19;4.13.1;
5.1.34;4.14.20;
5.2.26;4.21.21;
5.3.1;4.21.31;
5.3.12;4.32.1;
5.5.1;2.20.1;
5.5.23;2.20.18;
5.7.1;2.34.11;
5.7.12;5.28.1;
5.10.1;2.34.1;
5.14.3;3.11.1;
5.15.1;3.25.1;
5.15.12;2.21.1;
5.16.1;2.12.1;
5.16.9;2.34.22;3.23.15;
5.16.13;3.23.33;
5.19.1;4.35.9;6.20.1;
5.28.1;3.26.3;5.7.12;
5.28.15;3.26.14;
6.15.13;7.1.11;
6.20.1;4.35.9;5.19.1;
7.1.11;6.15.13;
