9.31.1;13.10.1;
10.5.1;13.11.1;13.14.1;
10.5.17;13.14.8;
10.6.1;13.13.1;13.15.25;
10.7.1;13.17.1;
10.7.18;13.17.16;
10.8.1;13.18.1;
10.10.1;13.19.1;
10.12.26;13.20.1;
10.21.15;13.20.4;
10.22.1;19.18.1;
10.23.8;13.11.10;
10.24.1;13.21.1;
11.3.1;14.1.3;
11.5.1;14.2.1;
11.6.14;14.3.8;
11.7.15;14.3.15;
11.7.23;14.4.2;
11.7.40;14.4.11;
11.8.1;14.5.2;
11.8.14;14.6.3;
11.8.22;14.6.12;
11.8.62;14.7.4;
11.9.1;14.7.11;
11.9.10;14.8.1;
11.9.15;14.8.3;
11.10.1;14.9.1;
11.10.14;14.9.13;
11.11.41;14.9.29;
11.12.1;14.10.1;
11.12.21;14.11.1;
11.14.21;14.11.5;
11.15.1;14.13.1;
11.15.9;14.15.16;
11.22.1;14.18.2;
11.22.29;14.18.28;
11.22.41;14.20.31;
12.8.16;14.21.1;
12.8.25;14.22.1;
12.11.1;14.22.10;
12.11.17;14.23.16;
12.12.1;14.24.1;
12.14.1;14.25.1;
12.14.17;14.25.25;
12.15.1;14.26.1;
12.15.32;14.27.1;
12.16.1;14.28.1;
12.18.1;14.29.1;14.30.1;
12.18.13;14.32.1;23.36.1;
12.19.1;23.37.1;
12.19.8;23.37.8;
12.19.20;23.37.20;
12.20.1;23.38.1;14.32.24;
12.20.12;23.39.1;
12.20.20;14.32.32;
12.21.1;14.33.1;
12.21.19;14.33.21;
12.22.1;14.34.1;
12.22.3;14.34.8;
12.23.1;14.34.3;
12.23.21;14.35.1;
12.23.28;14.35.20;
12.23.31;14.36.2;
12.23.35;14.36.5;
12.24.8;14.36.9;
12.24.18;14.36.11;24.52.1;
12.25.1;14.36.13;24.52.3;
12.25.8;24.52.12;
12.25.18;24.52.24;
12.25.22;24.40.7;24.41.1;
12.25.27;24.52.31;
13.1.1;1.5.1;1.10.1;1.11.10;
13.1.28;1.25.12;
13.1.34;1.36.1;
13.1.38;1.36.20;
13.1.43;1.36.31;
13.9.35;13.8.29;
13.10.1;9.31.1;
13.11.1;10.5.1;
13.11.10;10.23.8;
13.13.1;10.6.1;
13.14.1;10.5.11;
13.14.8;10.5.17;
13.15.25;10.6.12;
13.16.8;19.105.1;19.96.1;19.106.1;19.106.47;
13.17.1;10.7.1;
13.17.16;10.7.18;
13.18.1;10.8.1;
13.19.1;10.10.1;
13.20.1;10.12.26;
13.20.4;10.21.15;
13.21.1;10.24.1;
14.1.1;11.3.1;
14.1.14;11.10.26;
14.2.1;11.5.1;
14.2.17;11.6.1;
14.3.15;11.7.15;
14.4.1;11.7.23;
14.5.2;11.8.1;
14.6.1;11.8.12;
14.6.12;11.8.22;
14.7.1;11.8.62;
14.7.11;11.9.1;
14.8.1;11.9.10;
14.9.1;11.10.1;
14.9.13;11.10.14;
14.9.29;11.11.41;
14.10.1;11.12.1;
14.11.1;11.12.21;
14.12.1;11.14.25;
14.13.1;11.15.1;
14.16.1;11.15.17;
14.16.11;11.15.23;
14.18.1;11.22.1;
14.18.28;11.22.29;
14.20.31;11.22.41;
14.21.2;12.8.17;
14.22.1;12.8.25;12.9.21;
14.22.10;12.11.1;
14.23.1;12.11.4;
14.23.16;12.11.17;
14.24.1;12.12.1;
14.25.1;12.14.2;
14.25.5;12.14.7;
14.25.17;12.14.8;
14.26.1;12.14.21;12.15.1;
14.27.1;12.15.32;
14.28.1;12.16.1;
14.28.5;12.16.5;
14.28.16;12.16.7;
14.29.1;12.18.1;
14.32.32;12.20.20;
14.33.1;12.21.1;
14.33.18;12.21.17;
14.33.21;12.21.19;
14.34.1;12.22.1;
14.34.8;12.22.3;
14.34.29;12.23.1;
14.35.1;12.23.21;
14.35.20;12.23.28;
14.36.1;12.23.30;
14.36.5;12.23.36;
14.36.9;12.24.8;
14.36.11;12.24.18;24.52.1;
14.36.13;12.25.1;24.52.3;
14.36.22;15.1.1;
16.7.4;15.2.1;
23.2.1;33.4.1;
23.36.1;12.18.13;14.32.1;
23.37.1;12.19.1;
23.37.8;12.19.8;
23.37.21;12.19.20;
23.38.1;12.20.1;14.32.24;
23.39.1;12.20.12;
24.52.1;12.24.18;
24.52.12;12.25.8;
24.52.24;12.25.18;
33.4.1;23.2.1;
